timestamp,nim,action,detail
2026-03-04 06:24:53,2341720117,RENAME_FOLDER,JS05 → m05
2026-03-04 06:24:53,2341720117,RENAME_FOLDER,JS06 → m06
2026-03-04 06:24:53,2341720117,RENAME_FOLDER,JS07 → m07
2026-03-04 06:24:53,2341720117,RENAME_FOLDER,JS09 → m09
2026-03-04 06:24:53,2341720117,RENAME_FOLDER,JS11 → m11
2026-03-04 06:24:53,2341720117,RENAME_FOLDER,JS13 → m13
2026-03-04 06:24:53,2341720117,RENAME_FOLDER,JS14 → m14
2026-03-04 06:24:53,2341720117,RENAME_FOLDER,JS15 → m15
2026-03-04 06:24:53,2341720117,RENAME_FOLDER,KUIS → kuis
2026-03-04 06:24:53,2341720117,RENAME_FOLDER,PBL_FastAPI → pbl
2026-03-04 06:24:53,2341720117,RENAME_FOLDER,UTS → uts
2026-03-04 06:24:53,2341720117,MOVE_RENAME_FILE,TP_JS08.ipynb → kuis/tp01.ipynb
2026-03-04 06:24:53,2341720117,MOVE_RENAME_FILE,UTS.ipynb → uts/uts.ipynb
2026-03-04 06:24:53,2341720163,MOVE_RENAME_FILE,JS2_2341720163_Satrio_Ahmad_Ramadhani.ipynb → m02/JS2_2341720163_Satrio_Ahmad_Ramadhani.ipynb
2026-03-04 06:24:53,2341720163,MOVE_RENAME_FILE,JS3_2341720163_Satrio_Ahmad_Ramadhani.ipynb → m03/JS3_2341720163_Satrio_Ahmad_Ramadhani.ipynb
2026-03-04 06:24:53,2341720163,MOVE_RENAME_FILE,Satrio_Ahmad_Ramadhani_2341720163_27_KUIS1_ML.ipynb → kuis/kuis.ipynb
2026-03-04 06:24:53,2341720163,MOVE_RENAME_FILE,TG1_2341720163_Satrio_Ahmad_Ramadhani.ipynb → None/TG1_2341720163_Satrio_Ahmad_Ramadhani.ipynb
2026-03-04 06:24:53,2341720176,MOVE_RENAME_FILE,P1_JS01.ipynb → m01/p01.ipynb
2026-03-04 06:24:53,2341720176,MOVE_RENAME_FILE,TP_JS01.ipynb → m01/tp01.ipynb
2026-03-04 06:24:53,2341720176,MOVE_RENAME_FILE,P1_JS02.ipynb → m02/p01.ipynb
2026-03-04 06:24:53,2341720176,MOVE_RENAME_FILE,P2_JS02.ipynb → m02/p02.ipynb
2026-03-04 06:24:53,2341720176,MOVE_RENAME_FILE,P3_JS02.ipynb → m02/p03.ipynb
2026-03-04 06:24:53,2341720176,MOVE_RENAME_FILE,P4_JS02.ipynb → m02/p04.ipynb
2026-03-04 06:24:53,2341720176,MOVE_RENAME_FILE,TP_JS02.ipynb → m02/tp01.ipynb
2026-03-04 06:24:53,2341720176,MOVE_RENAME_FILE,P1_JS03.ipynb → m03/p01.ipynb
